timestamp;proc.cpu_num;proc.cpu_percent;proc.cpu_times.children_system;proc.cpu_times.children_user;proc.cpu_times.iowait;proc.cpu_times.system;proc.cpu_times.user;proc.create_time;proc.cwd;proc.exe;proc.gids.effective;proc.gids.real;proc.gids.saved;proc.io_counters.read_bytes;proc.io_counters.read_chars;proc.io_counters.read_count;proc.io_counters.write_bytes;proc.io_counters.write_chars;proc.io_counters.write_count;proc.ionice.ioclass;proc.ionice.value;proc.memory_full_info.data;proc.memory_full_info.dirty;proc.memory_full_info.lib;proc.memory_full_info.pss;proc.memory_full_info.rss;proc.memory_full_info.shared;proc.memory_full_info.swap;proc.memory_full_info.text;proc.memory_full_info.uss;proc.memory_full_info.vms;proc.memory_info.data;proc.memory_info.dirty;proc.memory_info.lib;proc.memory_info.rss;proc.memory_info.shared;proc.memory_info.text;proc.memory_info.vms;proc.memory_percent;proc.name;proc.nice;proc.num_ctx_switches.involuntary;proc.num_ctx_switches.voluntary;proc.num_fds;proc.num_threads;proc.pid;proc.ppid;proc.status;proc.terminal;proc.uids.effective;proc.uids.real;proc.uids.saved;proc.username;net.bytes_sent.eth0;net.bytes_recv.eth0;net.packets_sent.eth0;net.packets_recv.eth0;net.errin.eth0;net.errout.eth0;net.dropin.eth0;net.dropout.eth0;net.bytes_sent.eth1;net.bytes_recv.eth1;net.packets_sent.eth1;net.packets_recv.eth1;net.errin.eth1;net.errout.eth1;net.dropin.eth1;net.dropout.eth1;net.bytes_sent.eth2;net.bytes_recv.eth2;net.packets_sent.eth2;net.packets_recv.eth2;net.errin.eth2;net.errout.eth2;net.dropin.eth2;net.dropout.eth2;net.bytes_sent.eth3;net.bytes_recv.eth3;net.packets_sent.eth3;net.packets_recv.eth3;net.errin.eth3;net.errout.eth3;net.dropin.eth3;net.dropout.eth3;net.bytes_sent.eth4;net.bytes_recv.eth4;net.packets_sent.eth4;net.packets_recv.eth4;net.errin.eth4;net.errout.eth4;net.dropin.eth4;net.dropout.eth4;net.bytes_sent.ib0;net.bytes_recv.ib0;net.packets_sent.ib0;net.packets_recv.ib0;net.errin.ib0;net.errout.ib0;net.dropin.ib0;net.dropout.ib0;net.bytes_sent.lo;net.bytes_recv.lo;net.packets_sent.lo;net.packets_recv.lo;net.errin.lo;net.errout.lo;net.dropin.lo;net.dropout.lo;disk.read_count.nvme0n1;disk.read_bytes.nvme0n1;disk.write_count.nvme0n1;disk.write_bytes.nvme0n1;disk.read_count.nvme0n1p1;disk.read_bytes.nvme0n1p1;disk.write_count.nvme0n1p1;disk.write_bytes.nvme0n1p1;disk.read_count.nvme0n1p2;disk.read_bytes.nvme0n1p2;disk.write_count.nvme0n1p2;disk.write_bytes.nvme0n1p2;disk.read_count.nvme0n1p3;disk.read_bytes.nvme0n1p3;disk.write_count.nvme0n1p3;disk.write_bytes.nvme0n1p3;disk.read_count.nvme0n1p4;disk.read_bytes.nvme0n1p4;disk.write_count.nvme0n1p4;disk.write_bytes.nvme0n1p4;cpu.guest;cpu.guest_nice;cpu.idle;cpu.iowait;cpu.irq;cpu.nice;cpu.softirq;cpu.steal;cpu.system;cpu.user;cpu.percent;cpu.freq.current;cpu.freq.min;cpu.freq.max;cpu.ctx_switches;cpu.interrupts;cpu.soft_interrupts;cpu.syscalls
1722552398968.0;13;409.1;0.0;0.0;0.21;7.28;6.4;1722552386.22;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;188928000;12600620;12875;20480;11151;191;0;0;1517195264;0;0;499847168;499552256;147202048;0;8192;499347456;7608025088;1517195264;0;0;499552256;147202048;8192;7608025088;0.3699899251683613;opencraft.x86_64;0;2822;3528;44;120;269182;1;running;None;5378;5378;5378;zmr280;7581279107;371249179729;66859043;360615447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;982468098;47183583145;4656049;7977819;0;0;0;0;0;0;0;0;0;0;0;0;9473909;9473909;52403;52403;0;0;0;0;246794;5772780544;2599698;322391057408;492;4986880;11;1057792;236772;5713658880;197882;10303967232;8978;38909952;2401793;312085803008;209;8863744;0;0;0.0;0.0;34250278.12;547.41;15781.89;2450.54;5344.69;0.0;174205.57;1588396.7;8.5;2.7903333333333324;1500.0;2800.0;19887165769;7300239586;1706184626;0
1722552400039.3591;36;349.2;0.0;0.0;0.21;7.85;9.57;1722552386.22;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;188928000;15189709;19983;20480;11151;191;0;0;1517191168;0;0;499863552;499568640;147202048;0;8192;499363840;7608025088;1517191168;0;0;499568640;147202048;8192;7608025088;0.3700020598647042;opencraft.x86_64;0;2916;5915;44;120;269182;1;running;None;5378;5378;5378;zmr280;7581281477;371249254218;66859053;360615763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;982468164;47183583145;4656050;7977819;0;0;0;0;0;0;0;0;0;0;0;0;9473909;9473909;52403;52403;0;0;0;0;246794;5772780544;2599698;322391057408;492;4986880;11;1057792;236772;5713658880;197882;10303967232;8978;38909952;2401793;312085803008;209;8863744;0;0;0.0;0.0;34250325.25;547.41;15781.98;2450.58;5344.71;0.0;174206.27;1588399.98;8.1;2.729770833333332;1500.0;2800.0;19887280460;7300296830;1706194373;0
1722552401105.3232;12;298.5;0.0;0.0;0.21;8.36;12.24;1722552386.22;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;188928000;16825920;24475;20480;11151;191;0;0;1517199360;0;0;499875840;499580928;147202048;0;8192;499376128;7608025088;1517199360;0;0;499580928;147202048;8192;7608025088;0.37001116088696134;opencraft.x86_64;0;3008;7725;44;120;269182;1;running;None;5378;5378;5378;zmr280;7581283847;371249335073;66859063;360616096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;982470388;47183585511;4656064;7977832;0;0;0;0;0;0;0;0;0;0;0;0;9473909;9473909;52403;52403;0;0;0;0;246794;5772780544;2599698;322391057408;492;4986880;11;1057792;236772;5713658880;197882;10303967232;8978;38909952;2401793;312085803008;209;8863744;0;0;0.0;0.0;34250373.02;547.41;15782.05;2450.6;5344.74;0.0;174206.87;1588402.76;6.8;2.7705833333333323;1500.0;2800.0;19887367412;7300342810;1706202047;0
1722552402172.4114;12;294.2;0.0;0.0;0.21;8.94;14.8;1722552386.22;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;188928000;18207156;28267;20480;11151;191;0;0;1517199360;0;0;499884032;499585024;147202048;0;8192;499384320;7608025088;1517199360;0;0;499585024;147202048;8192;7608025088;0.37001419456104706;opencraft.x86_64;0;3109;9748;44;120;269182;1;running;None;5378;5378;5378;zmr280;7581286217;371249418522;66859073;360616440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;982470454;47183585511;4656065;7977832;0;0;0;0;0;0;0;0;0;0;0;0;9473909;9473909;52403;52403;0;0;0;0;246794;5772780544;2599700;322391118848;492;4986880;11;1057792;236772;5713658880;197884;10304028672;8978;38909952;2401793;312085803008;209;8863744;0;0;0.0;0.0;34250420.75;547.41;15782.13;2450.62;5344.77;0.0;174207.57;1588405.51;7.0;2.7442083333333325;1500.0;2800.0;19887451899;7300388451;1706211658;0
1722552403236.4058;12;319.0;0.0;0.0;0.21;9.6;17.53;1722552386.22;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;188928000;19766146;32547;20480;11151;191;0;0;1519296512;0;0;501981184;501682176;147202048;0;8192;501481472;7608025088;1519296512;0;0;501682176;147202048;8192;7608025088;0.37156743569293516;opencraft.x86_64;0;3204;12514;44;120;269182;1;running;None;5378;5378;5378;zmr280;7581288824;371249497960;66859084;360616767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;982470686;47183585693;4656067;7977833;0;0;0;0;0;0;0;0;0;0;0;0;9473909;9473909;52403;52403;0;0;0;0;246794;5772780544;2599700;322391118848;492;4986880;11;1057792;236772;5713658880;197884;10304028672;8978;38909952;2401793;312085803008;209;8863744;0;0;0.0;0.0;34250468.05;547.41;15782.22;2450.64;5344.79;0.0;174208.29;1588408.35;7.2;2.790229166666665;1500.0;2800.0;19887553159;7300442557;1706220679;0
1722552404299.2341;12;318.6;0.0;0.0;0.21;10.23;20.29;1722552386.22;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;188928000;21303281;36767;20480;11151;191;0;0;1519792128;0;0;502362112;502059008;147202048;0;8192;501862400;7608025088;1519796224;0;0;502059008;147202048;8192;7608025088;0.3718465337088213;opencraft.x86_64;0;3300;15625;44;120;269182;1;running;None;5378;5378;5378;zmr280;7581291194;371249575760;66859094;360617097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;982470686;47183585693;4656067;7977833;0;0;0;0;0;0;0;0;0;0;0;0;9473909;9473909;52403;52403;0;0;0;0;246794;5772780544;2599700;322391118848;492;4986880;11;1057792;236772;5713658880;197884;10304028672;8978;38909952;2401793;312085803008;209;8863744;0;0;0.0;0.0;34250515.46;547.41;15782.3;2450.67;5344.82;0.0;174208.98;1588411.26;7.3;2.7315208333333323;1500.0;2800.0;19887653713;7300495546;1706229477;0
1722552405363.3025;12;316.5;0.0;0.0;0.21;10.92;22.97;1722552386.22;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;188928000;22822932;40939;20480;11151;191;0;0;1519788032;0;0;502353920;502054912;147202048;0;8192;501854208;7608025088;1519788032;0;0;502054912;147202048;8192;7608025088;0.3718435000347356;opencraft.x86_64;0;3397;18672;44;120;269182;1;running;None;5378;5378;5378;zmr280;7581293564;371249657199;66859104;360617432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;982470918;47183585875;4656069;7977834;0;0;0;0;0;0;0;0;0;0;0;0;9473909;9473909;52403;52403;0;0;0;0;246794;5772780544;2599700;322391118848;492;4986880;11;1057792;236772;5713658880;197884;10304028672;8978;38909952;2401793;312085803008;209;8863744;0;0;0.0;0.0;34250563.03;547.41;15782.38;2450.69;5344.84;0.0;174209.65;1588413.87;6.7;2.7408124999999988;1500.0;2800.0;19887753589;7300547727;1706237715;0
1722552406430.28;36;307.6;0.0;0.0;0.21;11.6;25.57;1722552386.22;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;188928000;24252249;44863;20480;11151;191;0;0;1527062528;0;0;507949056;507674624;147202048;0;8192;507449344;7615299584;1527062528;0;0;507674624;147202048;8192;7615299584;0.37600570088034185;opencraft.x86_64;0;3490;21405;44;120;269182;1;running;None;5378;5378;5378;zmr280;7581295934;371249739245;66859114;360617770;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;982470918;47183585875;4656069;7977834;0;0;0;0;0;0;0;0;0;0;0;0;9473909;9473909;52403;52403;0;0;0;0;246794;5772780544;2599700;322391118848;492;4986880;11;1057792;236772;5713658880;197884;10304028672;8978;38909952;2401793;312085803008;209;8863744;0;0;0.0;0.0;34250610.57;547.41;15782.45;2450.71;5344.87;0.0;174210.26;1588416.34;6.3;2.692479166666665;1500.0;2800.0;19887847172;7300597107;1706247458;0
1722552407494.3435;36;299.2;0.0;0.0;0.21;12.37;27.98;1722552386.22;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;188928000;25162874;47363;20480;11151;191;0;0;1519386624;0;0;501784576;501481472;147202048;0;8192;501284864;7615299584;1519386624;0;0;501481472;147202048;8192;7615299584;0.3714187856627349;opencraft.x86_64;0;3584;24584;44;120;269182;1;running;None;5378;5378;5378;zmr280;7581298304;371249827409;66859124;360618124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;982473142;47183588241;4656083;7977847;0;0;0;0;0;0;0;0;0;0;0;0;9473909;9473909;52403;52403;0;0;0;0;246794;5772780544;2599700;322391118848;492;4986880;11;1057792;236772;5713658880;197884;10304028672;8978;38909952;2401793;312085803008;209;8863744;0;0;0.0;0.0;34250658.19;547.41;15782.53;2450.72;5344.89;0.0;174211.04;1588418.76;6.5;2.7568541666666655;1500.0;2800.0;19887939294;7300645883;1706255100;0
1722552408559.261;36;300.5;0.0;0.0;0.21;13.16;30.39;1722552386.22;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;188928000;25838922;49219;20480;11151;191;0;0;1517981696;0;0;500342784;500051968;147202048;0;8192;499843072;7615299584;1517981696;0;0;500051968;147202048;8192;7615299584;0.370360033406819;opencraft.x86_64;0;3678;28090;44;120;269182;1;running;None;5378;5378;5378;zmr280;7581300674;371249913797;66859134;360618470;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;982473208;47183588241;4656084;7977847;0;0;0;0;0;0;0;0;0;0;0;0;9473909;9473909;52403;52403;0;0;0;0;246794;5772780544;2599700;322391118848;492;4986880;11;1057792;236772;5713658880;197884;10304028672;8978;38909952;2401793;312085803008;209;8863744;0;0;0.0;0.0;34250706.0;547.41;15782.61;2450.73;5344.91;0.0;174211.85;1588421.18;6.5;2.790395833333332;1500.0;2800.0;19888032066;7300694824;1706262275;0
