Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;479768576;8146944;395743232;0;0;0;0;0;0;0;0;0;0;
2;35759212;484810752;8146944;395743232;25510011;0;0;0;0;0;0;0;0;145022;0;0;0;0;0;0;
3;3656277;484810752;8146944;395743232;986500;0;0;0;0;0;0;0;0;2034;0;0;0;0;0;0;
4;759755;484810752;8146944;395743232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;2414909;494317568;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;252734;494317568;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;224691;494587904;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;230803;494587904;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;228278;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;231123;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;202380;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;191789;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;182021;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;186880;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;190227;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;190458;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;186980;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;190177;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;189746;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;192201;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;715723;494858240;8146944;429297664;509095;0;0;0;0;0;0;0;0;2465;0;0;0;0;0;0;
22;194455;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;205836;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;198011;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;187873;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;200416;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;192070;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;202670;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;190938;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;185608;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;192411;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;194956;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;201678;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;205315;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;558197;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36;304221;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
37;553117;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
38;204303;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
39;200807;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
40;203321;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41;203221;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
42;196949;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
43;187622;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
44;191168;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
45;205546;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
46;191018;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
47;201969;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
48;195987;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
49;186700;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
50;182191;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
51;186510;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
52;199414;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53;198272;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54;191599;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55;204414;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
56;194625;494858240;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
57;198713;495181824;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
58;190818;495181824;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
59;192562;495181824;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
60;188814;495919104;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
61;203571;495919104;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
62;223238;495919104;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
63;196929;495919104;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
64;195687;495919104;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
65;196358;495919104;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66;207299;495919104;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
67;201628;495919104;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
68;210975;495919104;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
69;196820;495919104;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
70;201778;495919104;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
71;199795;495919104;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
72;197601;495919104;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
73;195016;495919104;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
74;193102;496427008;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
75;220573;498524160;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
76;212979;498524160;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
77;200806;498524160;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
78;195046;498524160;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
79;204684;498524160;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
80;211667;498524160;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
81;202059;498524160;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
82;186540;498524160;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
83;201608;498524160;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
84;195737;498524160;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
85;195356;498524160;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
86;190056;498524160;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
87;212379;498524160;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
88;212689;498524160;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
89;205395;498524160;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90;200646;498524160;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
91;209413;498524160;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
92;197159;498524160;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
93;760176;499367936;8146944;429297664;536326;0;0;0;0;0;0;0;0;1462;0;0;0;0;0;0;
94;1966608;499367936;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
95;223269;499367936;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
96;195546;499367936;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
97;212939;499367936;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
98;202700;499367936;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
99;200376;499367936;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
100;195397;499367936;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
101;212869;499367936;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
102;200647;499367936;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
103;204965;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
104;249949;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
105;210184;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
106;192992;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
107;187531;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
108;187722;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
109;243918;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110;204212;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
111;193944;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
112;187532;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
113;209283;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
114;200296;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
115;219953;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
116;211556;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
117;209262;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
118;210044;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
119;213651;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
120;215384;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
121;209362;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
122;215624;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
123;210104;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
124;211587;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
125;214172;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
126;212799;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
127;229500;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
128;225903;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
129;221726;499752960;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
130;226965;500023296;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
131;225012;500023296;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
132;219872;500023296;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
133;242415;500023296;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
134;225964;500023296;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
135;219562;500023296;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
136;223108;500023296;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
137;228158;500023296;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
138;226585;500023296;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
139;222196;500023296;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
140;227827;500023296;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
141;221956;500023296;8146944;429297664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
