Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
13236,230276577,604319744,28905472,703811584,228630870,0,76743,0,225846588,25908,131,221668072,4082557,11390,1728.0,3348.0,0.0,76.0,0.0,1.0
13237,4131147,604848128,28905472,703811584,2374574,0,72496,0,0,0,0,0,0,5451,1728.0,3348.0,0.0,76.0,0.0,1.0
13238,990838,604848128,28905472,703811584,480081,0,12303,0,0,0,0,0,0,1433,1728.0,3348.0,0.0,76.0,0.0,1.0
13239,3723723,604848128,28905472,703811584,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13240,741350,604848128,28905472,703811584,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13241,3581647,604848128,28905472,703811584,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13242,1048617,604848128,28905472,703811584,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13243,3526574,604848128,28905472,703811584,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13244,1241318,604073984,27930624,702836736,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13245,4165301,604073984,27930624,702836736,3466330,0,29986,0,0,0,0,0,0,2414,1728.0,3348.0,0.0,76.0,0.0,1.0
13246,1443016,603762688,27619328,702525440,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13247,1071539,603033600,26890240,701796352,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13248,3396640,603033600,26890240,701796352,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13249,1160666,603033600,26890240,701796352,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13250,3495756,603033600,26890240,701796352,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13251,1061721,603033600,26890240,701796352,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13252,4173657,603033600,26890240,701796352,3610010,0,29936,0,0,0,0,0,0,2885,1728.0,3348.0,0.0,76.0,0.0,1.0
13253,1395107,603295744,26886144,701792256,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13254,2853000,603295744,26886144,701792256,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13255,707627,603295744,26886144,701792256,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13256,3479976,603295744,26886144,701792256,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13257,1079595,603295744,26886144,701792256,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13258,3673930,603295744,26886144,701792256,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13259,1515653,603287552,26877952,701784064,625032,0,27342,0,0,0,0,0,0,2214,1728.0,3348.0,0.0,76.0,0.0,1.0
13260,3025294,603287552,26877952,701784064,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13261,805230,603287552,26877952,701784064,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13262,3330576,603287552,26877952,701784064,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13263,1068915,603283456,26873856,701779968,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13264,3334844,603283456,26873856,701779968,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13265,1033759,603283456,26877952,701784064,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13266,3595203,603283456,26877952,701784064,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13267,1290720,603283456,26877952,701784064,597901,0,23624,0,0,0,0,0,0,1823,1728.0,3348.0,0.0,76.0,0.0,1.0
13268,3260365,603549696,26877952,701784064,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13269,746490,603549696,26877952,701784064,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13270,3357026,603549696,26877952,701784064,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13271,979467,603549696,26877952,701784064,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13272,3554256,603549696,26877952,701784064,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
