timestamp,cpu_percent,rss
1722713583.9663377,8.3,2740916224
1722713584.9667084,0.0,2746392576
1722713585.967098,1.7,2774011904
1722713586.9674876,4.0,2869526528
1722713587.9680588,2.1,2931748864
1722713588.9684472,2.5,2889842688
1722713589.9689407,4.6,2954227712
1722713590.969519,4.2,2976890880
1722713591.9698842,4.6,3016011776
1722713592.9703937,6.8,3121483776
1722713593.9707713,6.3,3103752192
1722713594.9712126,6.9,3322654720
1722713595.9718251,30.5,3661021184
1722713596.9724083,36.8,3970457600
1722713597.973092,39.7,4346875904
1722713598.9737544,48.5,4907065344
1722713599.974416,49.9,5445013504
1722713600.975045,51.8,6040121344
1722713601.9757495,57.2,6443274240
1722713602.9764385,63.2,6962008064
1722713603.9770539,61.6,7593861120
1722713604.9776366,63.9,8039395328
1722713605.978251,67.6,8407990272
1722713606.9786687,64.3,9104326656
1722713607.979091,70.2,9721573376
1722713608.9795792,68.6,10074992640
1722713609.9801288,67.6,10714533888
1722713610.9805315,69.5,11372146688
1722713611.9809382,69.7,11887390720
1722713612.981382,69.5,12195790848
1722713613.981758,69.5,12636737536
1722713614.9822018,68.0,13030268928
1722713615.9826653,68.0,13192900608
1722713616.9830694,66.7,13392334848
1722713617.9836743,67.3,13483323392
1722713618.984255,65.8,13478883328
1722713619.9847767,63.9,13479034880
1722713620.9852924,63.1,13479759872
1722713621.9857216,63.5,13474017280
1722713622.9863265,63.4,13480996864
1722713623.9869177,63.3,13485584384
1722713624.9874616,62.2,13480185856
1722713625.9879944,61.8,13480124416
1722713626.9887147,61.3,13481283584
1722713627.9893909,61.0,13479747584
1722713628.9900527,60.9,13487661056
1722713629.9904733,59.0,13476012032
1722713630.9909816,57.9,13469933568
1722713631.991593,57.7,13477871616
1722713632.9923606,58.9,13483089920
1722713633.9929502,56.6,13476728832
1722713634.9935582,56.3,13473583104
1722713635.994167,56.2,13473558528
1722713636.9948077,56.4,13473181696
1722713637.9952927,55.4,13475917824
1722713638.9958425,56.2,13474750464
1722713639.9963777,57.1,13470400512
1722713640.9969778,57.3,13477040128
1722713641.997505,55.9,13487882240
1722713642.997982,56.0,13478428672
1722713643.9984937,56.4,13496668160
1722713644.9991488,56.0,13486817280
1722713645.99968,56.1,13486657536
1722713647.000343,55.7,13486714880
1722713648.0009577,54.7,13486137344
1722713649.0015094,55.1,13484265472
1722713650.0019312,55.8,13501730816
1722713651.002586,55.8,13500878848
1722713652.0033486,55.9,13506408448
1722713653.0040824,55.8,13511774208
1722713654.004574,54.3,13507485696
1722713655.0052469,56.5,13512044544
1722713656.0059288,56.9,13514645504
1722713657.006577,56.4,13514342400
1722713658.007198,55.1,13514747904
1722713659.0076609,53.3,13515456512
1722713660.0081456,54.3,13515726848
1722713661.0087726,55.4,13514960896
1722713662.0093687,54.8,13517754368
1722713663.0098524,54.5,13518561280
1722713664.0105479,54.5,13526765568
1722713665.0109866,54.2,13520945152
1722713666.011542,53.7,13520969728
1722713667.0123367,54.0,13520994304
1722713668.0128336,54.2,13522919424
1722713669.0133576,52.9,13528088576
1722713670.0138493,53.6,13526827008
1722713671.0143442,54.6,13526642688
1722713672.0149832,55.4,13524844544
1722713673.0155473,55.6,13524750336
1722713674.0161324,54.6,13524279296
1722713675.016616,54.3,13528977408
1722713676.0170882,55.2,13522092032
