Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
22137,7170597,39209385984,51482624,81189928960,4322487,0,1393444,0,0,0,0,0,0,0,0,6032,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22138,4903737,39217283072,51482624,81206706176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22139,5409816,39222525952,51482624,81223483392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22140,8071077,39223050240,51482624,81223483392,3916164,0,1385008,0,0,0,0,0,0,0,0,6712,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22141,5775220,39223853056,51482624,81223483392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22142,28991590,39228305408,51482624,81240260608,20871843,0,1387853,0,0,0,0,0,0,0,0,5370,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22143,18719536,39233576960,51482624,81257037824,5375120,0,1321258,0,0,0,0,0,0,0,0,3737,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22144,43650251,39245660160,51486720,81290596352,38780889,0,1339281,0,0,0,0,0,0,0,0,4207,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22145,36544515,39255691264,51486720,81307373568,31315949,0,3951241,0,0,0,0,0,0,0,0,8907,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22146,64139066,39267782656,51486720,81340928000,36737287,0,2695695,0,0,0,0,0,0,0,0,8466,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22147,28718618,39282540544,51486720,81357705216,21494361,0,5520373,0,0,0,0,0,0,0,0,12875,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22148,93024567,39295500288,53235712,81393008640,85029162,0,2689113,0,78088616,47830,1238503,69337013,66023920,3312011,7393716,9768,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22149,25308944,39309983744,53235712,81409785856,19972236,0,5506788,0,0,0,0,0,0,0,0,13064,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22150,12510101,39309983744,55345152,81411895296,7037117,0,2731794,0,0,0,0,0,0,0,0,7925,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22151,9118321,39321579520,55345152,81411895296,3952452,0,1390417,0,0,0,0,0,0,0,0,5150,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22152,3952923,39321579520,55345152,81411895296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22153,3986286,39325773824,55345152,81428672512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22154,6313330,39325773824,55345152,81428672512,3808032,0,1392862,0,0,0,0,0,0,0,0,5290,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22155,4455726,39328940032,55345152,81428672512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22156,4181252,39327334400,53587968,81426915328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22157,7771955,39327870976,53587968,81426915328,3715267,0,1397581,0,0,0,0,0,0,0,0,5670,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22158,3938947,39332057088,51482624,81441587200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22159,3986355,39332057088,51482624,81441587200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22160,6880764,39332057088,51482624,81441587200,3883673,0,1422407,0,0,0,0,0,0,0,0,5711,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22161,4492715,39334424576,51482624,81441587200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22162,4583516,39339147264,51482624,81458364416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22163,4177565,39339147264,51482624,81458364416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22164,7151552,39339143168,51478528,81458360320,4082877,0,1390748,0,0,0,0,0,0,0,0,5460,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22165,4805603,39354662912,51478528,81475137536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22166,6875474,39355461632,51478528,81475137536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22167,8485253,39355461632,51478528,81475137536,4206699,0,1391980,0,0,0,0,0,0,0,0,5390,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22168,4231696,39357829120,51482624,81475141632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22169,7025295,39362023424,51482624,81491918848,5448668,0,1404674,0,0,0,0,0,0,0,0,5220,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22170,4681230,39363371008,51482624,81491918848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22171,3296181,39363371008,51482624,81491918848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22172,8014851,39365468160,51482624,81491918848,3840031,0,1444138,0,0,0,0,0,0,0,0,5680,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22173,6705786,39385767936,51482624,81508696064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22174,1484204,39386034176,51482624,81508696064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22175,10159904,39387381760,51482624,81508696064,4006113,0,1344501,0,0,0,0,0,0,0,0,4168,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22176,6807527,39419756544,51478528,81542246400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22177,12613114,39424274432,51478528,81542246400,5137034,0,1342538,0,0,0,0,0,0,0,0,3727,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22178,7049521,39447695360,51482624,81592582144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22179,8579971,39451144192,51482624,81592582144,6868290,0,1353147,0,0,0,0,0,0,0,0,4228,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
