Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
14638,4194676,5135044608,28360704,16356409344,1739773,0,318688,0,0,0,0,0,0,0,0,5460,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14639,3816066,5144686592,28360704,16389963776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14640,2819558,5144686592,28360704,16389963776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14641,3591876,5144686592,28360704,16389963776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14642,2361037,5144686592,28360704,16389963776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14643,5086138,5144936448,28360704,16389963776,1527635,0,327885,0,0,0,0,0,0,0,0,6021,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14644,2385354,5149900800,28360704,16406740992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14645,1166277,5154095104,28360704,16423518208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14646,3573612,5154095104,28360704,16423518208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14647,2455816,5154095104,28360704,16423518208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14648,3548946,5154095104,28360704,16423518208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14649,3877311,5154095104,28360704,16423518208,1486467,0,319689,0,0,0,0,0,0,0,0,4489,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14650,3804385,5162733568,28360704,16457072640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14651,2900991,5166927872,28360704,16473849856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14652,3637181,5166927872,28360704,16473849856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14653,3905124,5166927872,28360704,16473849856,1473885,0,334909,0,0,0,0,0,0,0,0,5280,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14654,3718294,5171646464,28360704,16490627072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14655,1989121,5175840768,28360704,16507404288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14656,1171787,5175840768,28360704,16507404288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14657,3575766,5175840768,28360704,16507404288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14658,2368993,5175840768,28360704,16507404288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14659,5093823,5180297216,28360704,16524181504,1445270,0,319449,0,0,0,0,0,0,0,0,5039,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14660,2233278,5182644224,28360704,16540958720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14661,1606643,5184966656,28360704,16540958720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14662,3700049,5184966656,28360704,16540958720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14663,2001354,5184966656,28360704,16540958720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14664,3567661,5184966656,28360704,16540958720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14665,3793845,5184966656,28360704,16540958720,1502789,0,318557,0,0,0,0,0,0,0,0,4388,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14666,3643934,5190197248,28360704,16574513152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14667,1848677,5194391552,28360704,16574513152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14668,3784147,5194391552,28360704,16574513152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14669,1593218,5194391552,28360704,16574513152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14670,4886834,5202780160,28360704,16608067584,1340023,0,300855,0,0,0,0,0,0,0,0,3507,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14671,2172354,5202780160,28360704,16608067584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14672,3662528,5206974464,28360704,16624844800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14673,1573040,5206974464,28360704,16624844800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14674,3480588,5206974464,28360704,16624844800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14675,2192131,5206974464,28360704,16624844800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14676,4857530,5216374784,28360704,16658399232,1332750,0,301936,0,0,0,0,0,0,0,0,3767,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14677,2343695,5220569088,28360704,16675176448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14678,1087951,5220569088,28360704,16675176448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14679,3578531,5220569088,28360704,16675176448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
