Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;478031872;8118272;395714560;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;39207539;483479552;8118272;395714560;28570931;0;0;0;0;0;0;0;0;0;0;146966;0;0;0;0;0;0;0;0;
3;3288577;483479552;8118272;395714560;507582;0;0;0;0;0;0;0;0;0;0;2224;0;0;0;0;0;0;0;0;
4;856867;483479552;8118272;395714560;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;248806;483479552;8118272;395714560;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;2496722;492761088;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;267692;493031424;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;255119;493031424;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;262372;493031424;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;255329;493301760;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;224822;493301760;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;269976;493301760;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;208571;493301760;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;212689;493301760;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;207079;493301760;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;219672;493301760;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;206858;493301760;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;206127;493301760;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;716323;493301760;8118272;429268992;474089;0;0;0;0;0;0;0;0;0;0;2645;0;0;0;0;0;0;0;0;
20;215113;493301760;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;205265;493301760;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;217839;493301760;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
