Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
18660,3091718,20155740160,40194048,47422881792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18661,3918869,20159934464,40194048,47422881792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18662,3947303,20159934464,40194048,47422881792,2320802,0,650680,0,0,0,0,0,0,0,0,5681,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18663,4367912,20169609216,40194048,47456436224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18664,2796545,20174598144,40194048,47473213440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18665,1798924,20179324928,40194048,47489990656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18666,3912608,20184059904,40194048,47506767872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18667,4177034,20184059904,40194048,47506767872,2323708,0,636033,0,0,0,0,0,0,0,0,4709,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18668,4326484,20188782592,40194048,47523545088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18669,3882582,20189859840,40194048,47523545088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18670,3797021,20190941184,40194048,47523545088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18671,5733282,20191481856,40194048,47523545088,3777164,0,645831,0,0,0,0,0,0,0,0,4428,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18672,4242026,20197416960,40194048,47540322304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18673,3532756,20202409984,40194048,47557099520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18674,1396459,20202950656,40194048,47557099520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18675,3813131,20203761664,40194048,47557099520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18676,6437522,20204032000,40194048,47557099520,4441810,0,642805,0,0,0,0,0,0,0,0,4649,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
