Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;471687168;8032256;395628544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;36868522;476299264;8032256;395628544;0;0;0;0;0;0;0;0;0;0;0;109365;0;0;0;0;0;0;
3;3527716;477036544;8032256;395628544;0;0;0;0;0;0;0;0;0;0;0;1272;0;0;0;0;0;0;
4;1615280;477036544;8032256;395628544;0;0;0;0;0;0;0;0;0;0;0;1132;0;0;0;0;0;0;
5;3276244;486080512;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1183;0;0;0;0;0;0;
6;794050;486350848;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1452;0;0;0;0;0;0;
7;765876;486621184;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1302;0;0;0;0;0;0;
8;757851;486621184;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1122;0;0;0;0;0;0;
9;586770;486621184;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1042;0;0;0;0;0;0;
10;590477;486621184;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1082;0;0;0;0;0;0;
11;510277;486621184;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1082;0;0;0;0;0;0;
12;496401;486621184;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1113;0;0;0;0;0;0;
13;527820;486621184;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1032;0;0;0;0;0;0;
14;530204;486621184;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1252;0;0;0;0;0;0;
15;546926;486621184;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1072;0;0;0;0;0;0;
16;569418;486621184;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1022;0;0;0;0;0;0;
17;537718;486621184;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1132;0;0;0;0;0;0;
18;1007930;486932480;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1042;0;0;0;0;0;0;
19;629310;486932480;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1042;0;0;0;0;0;0;
20;953698;486932480;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1062;0;0;0;0;0;0;
21;578996;486932480;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1032;0;0;0;0;0;0;
22;527650;486932480;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1082;0;0;0;0;0;0;
23;507531;486932480;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1012;0;0;0;0;0;0;
