timestamp;proc.cpu_num;proc.cpu_percent;proc.cpu_times.children_system;proc.cpu_times.children_user;proc.cpu_times.iowait;proc.cpu_times.system;proc.cpu_times.user;proc.create_time;proc.cwd;proc.exe;proc.gids.effective;proc.gids.real;proc.gids.saved;proc.io_counters.read_bytes;proc.io_counters.read_chars;proc.io_counters.read_count;proc.io_counters.write_bytes;proc.io_counters.write_chars;proc.io_counters.write_count;proc.ionice.ioclass;proc.ionice.value;proc.memory_full_info.data;proc.memory_full_info.dirty;proc.memory_full_info.lib;proc.memory_full_info.pss;proc.memory_full_info.rss;proc.memory_full_info.shared;proc.memory_full_info.swap;proc.memory_full_info.text;proc.memory_full_info.uss;proc.memory_full_info.vms;proc.memory_info.data;proc.memory_info.dirty;proc.memory_info.lib;proc.memory_info.rss;proc.memory_info.shared;proc.memory_info.text;proc.memory_info.vms;proc.memory_percent;proc.name;proc.nice;proc.num_ctx_switches.involuntary;proc.num_ctx_switches.voluntary;proc.num_fds;proc.num_threads;proc.pid;proc.ppid;proc.status;proc.terminal;proc.uids.effective;proc.uids.real;proc.uids.saved;proc.username;net.bytes_sent.eth0;net.bytes_recv.eth0;net.packets_sent.eth0;net.packets_recv.eth0;net.errin.eth0;net.errout.eth0;net.dropin.eth0;net.dropout.eth0;net.bytes_sent.eth1;net.bytes_recv.eth1;net.packets_sent.eth1;net.packets_recv.eth1;net.errin.eth1;net.errout.eth1;net.dropin.eth1;net.dropout.eth1;net.bytes_sent.eth2;net.bytes_recv.eth2;net.packets_sent.eth2;net.packets_recv.eth2;net.errin.eth2;net.errout.eth2;net.dropin.eth2;net.dropout.eth2;net.bytes_sent.eth3;net.bytes_recv.eth3;net.packets_sent.eth3;net.packets_recv.eth3;net.errin.eth3;net.errout.eth3;net.dropin.eth3;net.dropout.eth3;net.bytes_sent.eth4;net.bytes_recv.eth4;net.packets_sent.eth4;net.packets_recv.eth4;net.errin.eth4;net.errout.eth4;net.dropin.eth4;net.dropout.eth4;net.bytes_sent.ib0;net.bytes_recv.ib0;net.packets_sent.ib0;net.packets_recv.ib0;net.errin.ib0;net.errout.ib0;net.dropin.ib0;net.dropout.ib0;net.bytes_sent.lo;net.bytes_recv.lo;net.packets_sent.lo;net.packets_recv.lo;net.errin.lo;net.errout.lo;net.dropin.lo;net.dropout.lo;disk.read_count.nvme0n1;disk.read_bytes.nvme0n1;disk.write_count.nvme0n1;disk.write_bytes.nvme0n1;disk.read_count.nvme0n1p1;disk.read_bytes.nvme0n1p1;disk.write_count.nvme0n1p1;disk.write_bytes.nvme0n1p1;disk.read_count.nvme0n1p2;disk.read_bytes.nvme0n1p2;disk.write_count.nvme0n1p2;disk.write_bytes.nvme0n1p2;disk.read_count.nvme0n1p3;disk.read_bytes.nvme0n1p3;disk.write_count.nvme0n1p3;disk.write_bytes.nvme0n1p3;disk.read_count.nvme0n1p4;disk.read_bytes.nvme0n1p4;disk.write_count.nvme0n1p4;disk.write_bytes.nvme0n1p4;cpu.guest;cpu.guest_nice;cpu.idle;cpu.iowait;cpu.irq;cpu.nice;cpu.softirq;cpu.steal;cpu.system;cpu.user;cpu.percent;cpu.freq.current;cpu.freq.min;cpu.freq.max;cpu.ctx_switches;cpu.interrupts;cpu.soft_interrupts;cpu.syscalls
1722719393333.9097;12;329.6;0.0;0.0;0.0;6.86;6.15;1722719380.11;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;4096;10890903;8182;20480;11941;192;0;4;1515266048;0;0;502278144;502349824;152150016;0;8192;501792768;7672680448;1515266048;0;0;502349824;152150016;8192;7672680448;0.3720619019946163;opencraft.x86_64;0;2837;1124;44;120;429317;1;running;None;5378;5378;5378;zmr280;84654287874;546395437742;197406345;770159550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20230568331;63981745475;11078947;12946737;0;0;0;0;0;0;0;0;0;0;0;0;12908966;12908966;71774;71774;0;0;0;0;445981;9433965568;3398532;420503446528;497;2242560;11;1057792;383956;9175360512;254018;11321348096;61343;252192768;3144491;409180811264;56;1728512;0;0;0.0;0.0;43870017.43;793.5;15956.41;665.77;4307.29;0.0;1843913.07;1672828.25;7.3;2.7238333333333316;1500.0;2800.0;75865438994;6916931069;1159658233;0
1722719394410.7166;12;362.6;0.0;0.0;0.0;7.49;9.4;1722719380.11;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;4096;13529175;15430;20480;11941;192;0;4;1520455680;0;0;501655552;501600256;152150016;0;8192;501170176;7678152704;1520447488;0;0;502231040;152150016;8192;7678152704;0.37197392545146835;opencraft.x86_64;0;2936;3471;44;120;429317;1;running;None;5378;5378;5378;zmr280;84654290234;546395437742;197406355;770159550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20230568331;63981745475;11078947;12946737;0;0;0;0;0;0;0;0;0;0;0;0;12908966;12908966;71774;71774;0;0;0;0;445981;9433965568;3398532;420503446528;497;2242560;11;1057792;383956;9175360512;254018;11321348096;61343;252192768;3144491;409180811264;56;1728512;0;0;0.0;0.0;43870064.6;793.5;15956.5;665.82;4307.31;0.0;1843913.69;1672831.45;7.8;2.7389791666666654;1500.0;2800.0;75865549533;6916986692;1159667869;0
1722719395479.7375;12;356.9;0.0;0.0;0.0;8.11;12.6;1722719380.11;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;4096;15736471;21494;20480;11941;192;0;4;1513918464;0;0;501028864;501059584;152150016;0;8192;500543488;7678152704;1513918464;0;0;501059584;152150016;8192;7678152704;0.3711062947155949;opencraft.x86_64;0;3029;6274;44;120;429317;1;running;None;5378;5378;5378;zmr280;84654292594;546395442224;197406365;770159559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20230568331;63981745475;11078947;12946737;0;0;0;0;0;0;0;0;0;0;0;0;12908966;12908966;71774;71774;0;0;0;0;445981;9433965568;3398532;420503446528;497;2242560;11;1057792;383956;9175360512;254018;11321348096;61343;252192768;3144491;409180811264;56;1728512;0;0;0.0;0.0;43870111.84;793.5;15956.59;665.85;4307.34;0.0;1843914.46;1672834.8;8.3;2.7403333333333317;1500.0;2800.0;75865660194;6917042780;1159678645;0
1722719396549.453;36;332.1;0.0;0.0;0.0;8.96;15.29;1722719380.11;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;4096;17300215;25790;20480;11941;192;0;4;1513918464;0;0;502077440;501063680;152150016;0;8192;501592064;7678152704;1514299392;0;0;501202944;152150016;8192;7678152704;0.37121247330215285;opencraft.x86_64;0;3124;9586;44;120;429317;1;running;None;5378;5378;5378;zmr280;84654294954;546395460993;197406375;770159618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20230568331;63981745475;11078947;12946737;0;0;0;0;0;0;0;0;0;0;0;0;12908966;12908966;71774;71774;0;0;0;0;445981;9433965568;3398532;420503446528;497;2242560;11;1057792;383956;9175360512;254018;11321348096;61343;252192768;3144491;409180811264;56;1728512;0;0;0.0;0.0;43870159.19;793.5;15956.67;665.86;4307.36;0.0;1843915.22;1672837.35;6.7;2.790354166666665;1500.0;2800.0;75865765609;6917100317;1159688568;0
1722719397615.492;36;329.4;0.0;0.0;0.0;9.75;18.01;1722719380.11;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;4096;18820279;29966;20480;11941;192;0;4;1521872896;0;0;508975104;509001728;152150016;0;8192;508489728;7678152704;1521872896;0;0;509001728;152150016;8192;7678152704;0.37698858841090455;opencraft.x86_64;0;3221;12794;44;120;429317;1;running;None;5378;5378;5378;zmr280;84654299674;546395514382;197406395;770159834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20230568331;63981745475;11078947;12946737;0;0;0;0;0;0;0;0;0;0;0;0;12908966;12908966;71774;71774;0;0;0;0;445981;9433965568;3398534;420503507968;497;2242560;11;1057792;383956;9175360512;254020;11321409536;61343;252192768;3144491;409180811264;56;1728512;0;0;0.0;0.0;43870206.54;793.5;15956.75;665.87;4307.39;0.0;1843915.92;1672839.96;6.8;2.7903749999999987;1500.0;2800.0;75865869120;6917157460;1159696114;0
1722719398681.4905;36;329.7;0.0;0.0;0.0;10.49;20.8;1722719380.11;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;4096;20322871;34094;20480;11941;192;0;4;1521872896;0;0;508975104;509005824;152150016;0;8192;508489728;7678152704;1521872896;0;0;509005824;152150016;8192;7678152704;0.37699162208480624;opencraft.x86_64;0;3315;15953;44;120;429317;1;running;None;5378;5378;5378;zmr280;84654302270;546395557211;197406406;770160006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20230568331;63981745475;11078947;12946737;0;0;0;0;0;0;0;0;0;0;0;0;12908966;12908966;71774;71774;0;0;0;0;445981;9433965568;3398534;420503507968;497;2242560;11;1057792;383956;9175360512;254020;11321409536;61343;252192768;3144491;409180811264;56;1728512;0;0;0.0;0.0;43870254.08;793.5;15956.83;665.89;4307.41;0.0;1843916.62;1672842.58;6.7;2.664687499999999;1500.0;2800.0;75865972108;6917212480;1159704383;0
1722719399751.5332;13;322.4;0.0;0.0;0.0;11.14;23.6;1722719380.11;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;4096;21714807;37918;20480;11941;192;0;4;1521868800;0;0;508979200;509014016;152150016;0;8192;508493824;7678152704;1521868800;0;0;509014016;152150016;8192;7678152704;0.37699768943260953;opencraft.x86_64;0;3410;18653;44;120;429317;1;running;None;5378;5378;5378;zmr280;84654304630;546395610597;197406416;770160222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20230568563;63981745657;11078949;12946738;0;0;0;0;0;0;0;0;0;0;0;0;12908966;12908966;71774;71774;0;0;0;0;445981;9433965568;3398534;420503507968;497;2242560;11;1057792;383956;9175360512;254020;11321409536;61343;252192768;3144491;409180811264;56;1728512;0;0;0.0;0.0;43870301.74;793.5;15956.91;665.91;4307.44;0.0;1843917.28;1672845.35;7.0;2.608437499999998;1500.0;2800.0;75866065545;6917262983;1159714344;0
1722719400821.5679;14;277.0;0.0;0.0;0.0;11.69;26.01;1722719380.11;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;4096;22713623;40662;20480;11941;192;0;4;1522089984;0;0;509446144;509009920;152150016;0;8192;508960768;7678152704;1522479104;0;0;509841408;152465408;8192;7678152704;0.3776104915607439;opencraft.x86_64;0;3505;20111;44;120;429317;1;running;None;5378;5378;5378;zmr280;84654306990;546395659503;197406426;770160429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20230568563;63981745657;11078949;12946738;0;0;0;0;0;0;0;0;0;0;0;0;12908966;12908966;71774;71774;0;0;0;0;445981;9433965568;3398534;420503507968;497;2242560;11;1057792;383956;9175360512;254020;11321409536;61343;252192768;3144491;409180811264;56;1728512;0;0;0.0;0.0;43870349.85;793.5;15956.97;665.92;4307.45;0.0;1843917.81;1672847.62;5.6;2.7581666666666655;1500.0;2800.0;75866134813;6917300920;1159720806;0
1722719401890.4092;14;281.3;0.0;0.0;0.0;12.26;28.45;1722719380.11;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;4096;23451815;42690;24576;11967;193;0;4;1521979392;0;0;509164544;508997632;152465408;0;8192;508686336;7678152704;1516130304;0;0;503599104;152465408;8192;7678152704;0.3729871725346212;opencraft.x86_64;0;3599;22148;44;120;429317;1;running;None;5378;5378;5378;zmr280;84654310342;546395726687;197406445;770160710;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20230572115;63981745863;11078951;12946739;0;0;0;0;0;0;0;0;0;0;0;0;12908966;12908966;71774;71774;0;0;0;0;445981;9433965568;3398549;420503569408;497;2242560;11;1057792;383956;9175360512;254035;11321470976;61343;252192768;3144491;409180811264;56;1728512;0;0;0.0;0.0;43870397.89;793.5;15957.04;665.93;4307.48;0.0;1843918.42;1672850.05;6.2;2.732312499999999;1500.0;2800.0;75866206837;6917339941;1159727776;0
1722719402960.4858;14;310.8;0.0;0.0;0.0;12.98;31.04;1722719380.11;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;4096;24118663;44522;24576;11967;193;0;4;1521975296;0;0;509160448;508989440;152465408;0;8192;508682240;7678152704;1516494848;0;0;503721984;152465408;8192;7678152704;0.3730781827516709;opencraft.x86_64;0;3691;25651;44;120;429317;1;running;None;5378;5378;5378;zmr280;84654312702;546395805120;197406455;770161017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20230572115;63981745863;11078951;12946739;0;0;0;0;0;0;0;0;0;0;0;0;12908966;12908966;71774;71774;0;0;0;0;445981;9433965568;3398549;420503569408;497;2242560;11;1057792;383956;9175360512;254035;11321470976;61343;252192768;3144491;409180811264;56;1728512;0;0;0.0;0.0;43870445.46;793.5;15957.12;665.94;4307.49;0.0;1843919.18;1672852.65;6.8;2.7694374999999987;1500.0;2800.0;75866300058;6917388899;1159735773;0
