Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;471740416;9723904;397320192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;36158992;476770304;9723904;397320192;25810545;0;0;0;0;0;0;0;0;0;0;135153;0;0;0;0;0;0;0;0;
3;3395308;477564928;9723904;397320192;829055;0;0;0;0;0;0;0;0;0;0;1673;0;0;0;0;0;0;0;0;
4;806293;477564928;9723904;397320192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;205836;477564928;9723904;397320192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;2497564;486535168;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;272030;486805504;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;239779;486805504;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;224962;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;242685;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;202821;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;194334;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;192661;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;193443;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;202800;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;187712;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;187782;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;190487;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;191289;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;198963;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;753323;487075840;9723904;430874624;532609;0;0;0;0;0;0;0;0;0;0;1683;0;0;0;0;0;0;0;0;
22;208642;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;201899;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;194474;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;202881;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;192180;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;203902;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;193503;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;189816;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;190126;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;202450;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;197841;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;200095;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;554670;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;319239;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36;607709;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
37;207409;487075840;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
