Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
14614,3859478,5096263680,27525120,16254910464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14615,2551896,5100699648,27525120,16271687680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14616,1255895,5100699648,27525120,16271687680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14617,3674111,5100699648,27525120,16271687680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14618,2891303,5100699648,27525120,16271687680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14619,5273570,5105418240,27525120,16288464896,1611322,0,370775,0,0,0,0,0,0,0,0,6082,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14620,2652093,5105418240,27525120,16288464896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14621,3646829,5105418240,27525120,16288464896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14622,2765376,5105418240,27525120,16288464896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14623,5069577,5105672192,27525120,16305242112,1397581,0,361829,0,0,0,0,0,0,0,0,3898,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14624,2430549,5114322944,27525120,16322019328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14625,1648441,5114322944,27525120,16322019328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14626,3779609,5114322944,27525120,16322019328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14627,2678443,5114322944,27525120,16322019328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14628,3623876,5114322944,27525120,16322019328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14629,4467308,5114322944,27525120,16322019328,1653060,0,361969,0,0,0,0,0,0,0,0,4889,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14630,3943756,5119004672,27525120,16355573760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14631,3776092,5127643136,27525120,16372350976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14632,3751396,5127643136,27525120,16372350976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14633,4119816,5127643136,27525120,16372350976,1449919,0,354154,0,0,0,0,0,0,0,0,4108,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14634,3849118,5132103680,27525120,16389128192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14635,3544106,5132623872,27525120,16405905408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14636,3741537,5136818176,27525120,16405905408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,89.0,0.0,40.0
14637,4280407,5136818176,27525120,16405905408,1528276,0,374432,0,0,0,0,0,0,0,0,5220,0,0,0.0,0.0,0.0,89.0,0.0,40.0
