Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;472739840;8187904;395784192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;35247963;477089792;8187904;395784192;25196012;0;0;0;0;0;0;0;0;0;0;130585;0;0;0;0;0;0;0;0;
3;3494043;477814784;8187904;395784192;949201;0;0;0;0;0;0;0;0;0;0;2024;0;0;0;0;0;0;0;0;
4;786895;477814784;8187904;395784192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;2361769;486780928;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;242936;486780928;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;227246;487051264;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;233908;487051264;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;227196;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;220183;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;195967;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;188273;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;195106;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;206948;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;185969;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;186409;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;187512;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;184406;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;202800;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;187161;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;637586;487321600;8187904;429338624;427171;0;0;0;0;0;0;0;0;0;0;2134;0;0;0;0;0;0;0;0;
22;203261;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;195637;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;192652;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;193724;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;198132;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;196288;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;195577;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;187151;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;184055;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;187311;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;200306;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;200115;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;193553;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;557095;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36;306215;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
37;582884;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
38;197781;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
39;201729;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
40;202449;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41;196117;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
42;219883;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
43;192140;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
44;193312;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
45;189946;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
46;190507;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
47;193393;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
48;200826;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
49;188654;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
50;190036;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
51;197771;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
52;208191;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53;199334;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54;269014;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55;198573;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
56;198553;487321600;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
57;195066;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
58;194655;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
59;190457;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
60;192150;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
61;200607;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
62;193202;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
63;209302;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
64;193272;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
65;193744;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66;210444;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
67;204694;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
68;188713;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
69;192331;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
70;200566;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
71;209923;487829504;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
72;193172;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
73;198702;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
74;201829;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
75;192802;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
76;210144;488521728;8187904;429338624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
