timestamp;proc.cpu_num;proc.cpu_percent;proc.cpu_times.children_system;proc.cpu_times.children_user;proc.cpu_times.iowait;proc.cpu_times.system;proc.cpu_times.user;proc.create_time;proc.cwd;proc.exe;proc.gids.effective;proc.gids.real;proc.gids.saved;proc.io_counters.read_bytes;proc.io_counters.read_chars;proc.io_counters.read_count;proc.io_counters.write_bytes;proc.io_counters.write_chars;proc.io_counters.write_count;proc.ionice.ioclass;proc.ionice.value;proc.memory_full_info.data;proc.memory_full_info.dirty;proc.memory_full_info.lib;proc.memory_full_info.pss;proc.memory_full_info.rss;proc.memory_full_info.shared;proc.memory_full_info.swap;proc.memory_full_info.text;proc.memory_full_info.uss;proc.memory_full_info.vms;proc.memory_info.data;proc.memory_info.dirty;proc.memory_info.lib;proc.memory_info.rss;proc.memory_info.shared;proc.memory_info.text;proc.memory_info.vms;proc.memory_percent;proc.name;proc.nice;proc.num_ctx_switches.involuntary;proc.num_ctx_switches.voluntary;proc.num_fds;proc.num_threads;proc.pid;proc.ppid;proc.status;proc.terminal;proc.uids.effective;proc.uids.real;proc.uids.saved;proc.username;net.bytes_sent.eth0;net.bytes_recv.eth0;net.packets_sent.eth0;net.packets_recv.eth0;net.errin.eth0;net.errout.eth0;net.dropin.eth0;net.dropout.eth0;net.bytes_sent.eth1;net.bytes_recv.eth1;net.packets_sent.eth1;net.packets_recv.eth1;net.errin.eth1;net.errout.eth1;net.dropin.eth1;net.dropout.eth1;net.bytes_sent.eth2;net.bytes_recv.eth2;net.packets_sent.eth2;net.packets_recv.eth2;net.errin.eth2;net.errout.eth2;net.dropin.eth2;net.dropout.eth2;net.bytes_sent.eth3;net.bytes_recv.eth3;net.packets_sent.eth3;net.packets_recv.eth3;net.errin.eth3;net.errout.eth3;net.dropin.eth3;net.dropout.eth3;net.bytes_sent.eth4;net.bytes_recv.eth4;net.packets_sent.eth4;net.packets_recv.eth4;net.errin.eth4;net.errout.eth4;net.dropin.eth4;net.dropout.eth4;net.bytes_sent.ib0;net.bytes_recv.ib0;net.packets_sent.ib0;net.packets_recv.ib0;net.errin.ib0;net.errout.ib0;net.dropin.ib0;net.dropout.ib0;net.bytes_sent.lo;net.bytes_recv.lo;net.packets_sent.lo;net.packets_recv.lo;net.errin.lo;net.errout.lo;net.dropin.lo;net.dropout.lo;disk.read_count.nvme0n1;disk.read_bytes.nvme0n1;disk.write_count.nvme0n1;disk.write_bytes.nvme0n1;disk.read_count.nvme0n1p1;disk.read_bytes.nvme0n1p1;disk.write_count.nvme0n1p1;disk.write_bytes.nvme0n1p1;disk.read_count.nvme0n1p2;disk.read_bytes.nvme0n1p2;disk.write_count.nvme0n1p2;disk.write_bytes.nvme0n1p2;disk.read_count.nvme0n1p3;disk.read_bytes.nvme0n1p3;disk.write_count.nvme0n1p3;disk.write_bytes.nvme0n1p3;disk.read_count.nvme0n1p4;disk.read_bytes.nvme0n1p4;disk.write_count.nvme0n1p4;disk.write_bytes.nvme0n1p4;cpu.guest;cpu.guest_nice;cpu.idle;cpu.iowait;cpu.irq;cpu.nice;cpu.softirq;cpu.steal;cpu.system;cpu.user;cpu.percent;cpu.freq.current;cpu.freq.min;cpu.freq.max;cpu.ctx_switches;cpu.interrupts;cpu.soft_interrupts;cpu.syscalls
1722709481284.9233;30;400.0;0.0;0.0;0.0;7.31;7.65;1722709467.96;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;4096;13355912;14955;24576;11938;193;0;4;1520070656;0;0;501582848;501612544;152481792;0;8192;501067776;7677718528;1520070656;0;0;501612544;152481792;8192;7677718528;0.37151584069231836;opencraft.x86_64;0;2890;3076;44;120;407804;1;running;None;5378;5378;5378;zmr280;65163868112;540962994209;169469910;738311900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19977255345;63899078115;10611158;12503741;0;0;0;0;0;0;0;0;0;0;0;0;12908966;12908966;71774;71774;0;0;0;0;443512;9342895104;3395221;420474663936;497;2242560;11;1057792;381487;9084290048;250707;11292565504;61343;252192768;3144491;409180811264;56;1728512;0;0;0.0;0.0;43450849.79;780.73;15078.26;610.86;3974.47;0.0;1839943.18;1622689.89;8.7;2.7341458333333324;1500.0;2800.0;75411555784;6393619762;1040491956;0
1722709482351.5066;6;289.3;0.0;0.0;0.0;7.79;10.25;1722709467.96;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;4096;14896360;19187;24576;11938;193;0;4;1520070656;0;0;507124736;507179008;152481792;0;8192;506609664;7677718528;1520070656;0;0;507179008;152481792;8192;7677718528;0.375638603524668;opencraft.x86_64;0;2987;4006;44;120;407804;1;running;None;5378;5378;5378;zmr280;65163870472;540963000077;169469920;738311915;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19977255345;63899078115;10611158;12503741;0;0;0;0;0;0;0;0;0;0;0;0;12908966;12908966;71774;71774;0;0;0;0;443512;9342895104;3395221;420474663936;497;2242560;11;1057792;381487;9084290048;250707;11292565504;61343;252192768;3144491;409180811264;56;1728512;0;0;0.0;0.0;43450897.59;780.73;15078.33;610.88;3974.49;0.0;1839943.74;1622692.53;6.5;2.6208541666666654;1500.0;2800.0;75411634959;6393663205;1040499181;0
1722709483415.5833;6;289.6;0.0;0.0;0.0;8.39;12.73;1722709467.96;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;4096;16250440;22907;24576;11938;193;0;4;1520062464;0;0;503831552;503758848;152481792;0;8192;503316480;7677718528;1520062464;0;0;503758848;152481792;8192;7677718528;0.37310548581678576;opencraft.x86_64;0;3083;5311;44;120;407804;1;running;None;5378;5378;5378;zmr280;65163872832;540963016074;169469930;738311962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19977255345;63899078115;10611158;12503741;0;0;0;0;0;0;0;0;0;0;0;0;12908966;12908966;71774;71774;0;0;0;0;443512;9342895104;3395221;420474663936;497;2242560;11;1057792;381487;9084290048;250707;11292565504;61343;252192768;3144491;409180811264;56;1728512;0;0;0.0;0.0;43450945.29;780.73;15078.4;610.9;3974.51;0.0;1839944.33;1622694.98;6.2;2.748916666666666;1500.0;2800.0;75411716338;6393708359;1040507333;0
1722709484479.5303;6;328.3;0.0;0.0;0.0;9.1;15.51;1722709467.96;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;4096;17814184;27203;24576;11938;193;0;4;1520062464;0;0;506571776;506687488;152481792;0;8192;506056704;7677718528;1520062464;0;0;506687488;152481792;8192;7677718528;0.3752745626564693;opencraft.x86_64;0;3176;7829;44;120;407804;1;running;None;5378;5378;5378;zmr280;65163875192;540963040565;169469940;738312065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19977261449;63899078519;10611162;12503743;0;0;0;0;0;0;0;0;0;0;0;0;12908966;12908966;71774;71774;0;0;0;0;443512;9342895104;3395221;420474663936;497;2242560;11;1057792;381487;9084290048;250707;11292565504;61343;252192768;3144491;409180811264;56;1728512;0;0;0.0;0.0;43450992.56;780.73;15078.49;610.93;3974.54;0.0;1839945.04;1622697.73;7.1;2.763999999999999;1500.0;2800.0;75411820508;6393766418;1040517070;0
1722709485542.4717;6;325.7;0.0;0.0;0.0;9.88;18.21;1722709467.96;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;4096;19325512;31355;24576;11938;193;0;4;1522159616;0;0;508386304;508403712;152481792;0;8192;507871232;7677718528;1522159616;0;0;508403712;152481792;8192;7677718528;0.3765456720212629;opencraft.x86_64;0;3272;10331;44;120;407804;1;running;None;5378;5378;5378;zmr280;65163877552;540963070119;169469950;738312180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19977261449;63899078519;10611162;12503743;0;0;0;0;0;0;0;0;0;0;0;0;12908966;12908966;71774;71774;0;0;0;0;443512;9342895104;3395223;420474725376;497;2242560;11;1057792;381487;9084290048;250709;11292626944;61343;252192768;3144491;409180811264;56;1728512;0;0;0.0;0.0;43451040.09;780.73;15078.57;610.95;3974.56;0.0;1839945.78;1622700.32;6.8;2.7457291666666657;1500.0;2800.0;75411922197;6393823521;1040525434;0
1722709486611.551;6;325.9;0.0;0.0;0.0;10.69;20.88;1722709467.96;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;4096;20842664;35523;24576;11938;193;0;4;1522159616;0;0;509537280;509669376;152481792;0;8192;509022208;7677718528;1522159616;0;0;509669376;152481792;8192;7677718528;0.3774830772568744;opencraft.x86_64;0;3370;13238;44;120;407804;1;running;None;5378;5378;5378;zmr280;65163879912;540963107748;169469960;738312334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19977261681;63899078701;10611164;12503744;0;0;0;0;0;0;0;0;0;0;0;0;12908966;12908966;71774;71774;0;0;0;0;443512;9342895104;3395223;420474725376;497;2242560;11;1057792;381487;9084290048;250709;11292626944;61343;252192768;3144491;409180811264;56;1728512;0;0;0.0;0.0;43451087.59;780.73;15078.65;610.97;3974.58;0.0;1839946.53;1622702.82;6.6;2.7207499999999984;1500.0;2800.0;75412024673;6393879226;1040533726;0
1722709487679.5442;6;325.3;0.0;0.0;0.0;11.35;23.68;1722709467.96;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;4096;22330696;39611;24576;11938;193;0;4;1522159616;0;0;509537280;509669376;152481792;0;8192;509022208;7677718528;1522159616;0;0;509669376;152481792;8192;7677718528;0.3774830772568744;opencraft.x86_64;0;3469;15788;44;120;407804;1;running;None;5378;5378;5378;zmr280;65163882272;540963161823;169469970;738312547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19977261681;63899078701;10611164;12503744;0;0;0;0;0;0;0;0;0;0;0;0;12908966;12908966;71774;71774;0;0;0;0;443512;9342895104;3395223;420474725376;497;2242560;11;1057792;381487;9084290048;250709;11292626944;61343;252192768;3144491;409180811264;56;1728512;0;0;0.0;0.0;43451134.89;780.73;15078.73;610.99;3974.61;0.0;1839947.28;1622705.72;7.4;2.6993124999999982;1500.0;2800.0;75412125195;6393933858;1040544046;0
1722709488743.5303;6;321.9;0.0;0.0;0.0;12.14;26.32;1722709467.96;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;4096;23443080;42667;28672;11964;194;0;4;1516896256;0;0;503200768;503336960;152608768;0;8192;502685696;7677718528;1516896256;0;0;503336960;152608768;8192;7677718528;0.3727930174049153;opencraft.x86_64;0;3567;18800;44;120;407804;1;running;None;5378;5378;5378;zmr280;65163884632;540963221900;169469980;738312776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19977265229;63899078907;10611166;12503745;0;0;0;0;0;0;0;0;0;0;0;0;12908966;12908966;71774;71774;0;0;0;0;443512;9342895104;3395223;420474725376;497;2242560;11;1057792;381487;9084290048;250709;11292626944;61343;252192768;3144491;409180811264;56;1728512;0;0;0.0;0.0;43451182.36;780.73;15078.81;611.0;3974.63;0.0;1839947.97;1622708.18;6.4;2.768708333333332;1500.0;2800.0;75412225524;6393985910;1040552274;0
1722709489809.4448;6;312.9;0.0;0.0;0.0;12.94;28.85;1722709467.96;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;4096;24128856;44551;28672;11964;194;0;4;1516904448;0;0;503454720;503582720;152608768;0;8192;502939648;7677718528;1516904448;0;0;503582720;152608768;8192;7677718528;0.37297503783901453;opencraft.x86_64;0;3661;22080;44;120;407804;1;sleeping;None;5378;5378;5378;zmr280;65163886992;540963291247;169469990;738313054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19977271781;63899079311;10611170;12503747;0;0;0;0;0;0;0;0;0;0;0;0;12908966;12908966;71774;71774;0;0;0;0;443512;9342895104;3395223;420474725376;497;2242560;11;1057792;381487;9084290048;250709;11292626944;61343;252192768;3144491;409180811264;56;1728512;0;0;0.0;0.0;43451229.82;780.73;15078.88;611.01;3974.65;0.0;1839948.77;1622710.61;6.6;2.740208333333332;1500.0;2800.0;75412321327;6394036412;1040559736;0
1722709490872.4824;6;308.4;0.0;0.0;0.0;13.75;31.32;1722709467.96;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;4096;24811720;46427;28672;11964;194;0;4;1522147328;0;0;507689984;505704448;152608768;0;8192;507174912;7677718528;1522147328;0;0;505704448;152608768;8192;7677718528;0.37454648092007203;opencraft.x86_64;0;3757;25576;44;120;407804;1;running;None;5378;5378;5378;zmr280;65163889352;540963365126;169470000;738313356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19977271781;63899079311;10611170;12503747;0;0;0;0;0;0;0;0;0;0;0;0;12908966;12908966;71774;71774;0;0;0;0;443512;9342895104;3395223;420474725376;497;2242560;11;1057792;381487;9084290048;250709;11292626944;61343;252192768;3144491;409180811264;56;1728512;0;0;0.0;0.0;43451277.26;780.73;15078.96;611.02;3974.67;0.0;1839949.6;1622713.03;6.6;2.721916666666665;1500.0;2800.0;75412417092;6394086425;1040567458;0
