Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
28534,1949276,9106333696,41365504,30361612288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28535,3863706,9106333696,41365504,30361612288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28536,1818440,9106333696,41365504,30361612288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28537,3816728,9106333696,41365504,30361612288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28538,3635698,9106333696,41365504,30361612288,1602144,0,194785,137898,0,0,0,0,0,0,0,4759,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28539,3986927,9118408704,41365504,30411943936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28540,2569949,9131257856,41365504,30462275584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28541,1384066,9133355008,41365504,30462275584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28542,3888373,9133355008,41365504,30462275584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28543,3229948,9133355008,41365504,30462275584,1269922,0,194184,162756,0,0,0,0,0,0,0,5040,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28544,3982318,9133355008,41365504,30462275584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28545,1897859,9133355008,41365504,30462275584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28546,3855882,9133355008,41365504,30462275584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28547,1847184,9133355008,41365504,30462275584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28548,3849349,9133355008,41365504,30462275584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28549,3541091,9133355008,41365504,30462275584,1287475,0,193142,128882,0,0,0,0,0,0,0,5120,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28550,4142229,9134686208,41365504,30462275584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28551,1622533,9134686208,41365504,30462275584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28552,3836955,9134686208,41365504,30462275584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28553,3214077,9134686208,41365504,30462275584,1193658,0,195987,121167,0,0,0,0,0,0,0,4639,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28554,4095120,9134944256,41365504,30462275584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28555,1746796,9134944256,41365504,30462275584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28556,3850561,9134944256,41365504,30462275584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,285.0,0.0,20.0
28557,1815084,9134944256,41365504,30462275584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,285.0,0.0,20.0
