timestamp,cpu_percent,rss
1722712947.5742085,7.7,2645262336
1722712948.5745542,0.0,2648690688
1722712949.57492,0.5,2658336768
1722712950.5753284,2.3,2724724736
1722712951.5759027,2.1,2759585792
1722712952.5762806,2.6,2815238144
1722712953.5766516,5.0,2879635456
1722712954.577326,4.2,2900242432
1722712955.5779626,4.2,2934104064
1722712956.5784564,4.9,2976587776
1722712957.578959,6.3,2951196672
1722712958.5795422,6.7,3183190016
1722712959.5799553,30.9,3454537728
1722712960.5804627,32.7,3668144128
1722712961.5810704,31.3,4043640832
1722712962.5817466,41.8,4500910080
1722712963.5823886,47.9,5031174144
1722712964.5830553,48.4,5642268672
1722712965.583562,54.4,6062903296
1722712966.584221,59.2,6576173056
1722712967.5849621,59.0,6968573952
1722712968.5856113,57.3,7274958848
1722712969.5863664,56.8,7513358336
1722712970.5870302,55.4,7730786304
1722712971.5877101,55.0,7927595008
1722712972.5883543,54.2,7964753920
1722712973.5890722,53.6,8004136960
1722712974.589712,53.1,8015245312
1722712975.5903628,50.6,8015155200
1722712976.5909922,50.4,8016252928
1722712977.5916648,50.9,8016248832
1722712978.5923662,50.8,8022360064
1722712979.5930552,50.7,8017031168
1722712980.5937283,51.8,8018173952
1722712981.5944088,49.1,8017420288
1722712982.5950708,48.6,8028180480
1722712983.5957654,46.6,8021434368
1722712984.5964272,45.7,8022474752
1722712985.5970216,43.8,8021327872
1722712986.5976365,42.7,8018579456
1722712987.5981417,40.1,8022351872
1722712988.5988257,39.6,8014172160
1722712989.5993326,40.0,8016842752
1722712990.5999503,39.3,8011538432
1722712991.6006477,38.1,8017760256
1722712992.6012652,36.1,8016310272
1722712993.6018937,36.6,8011464704
1722712994.6025105,37.7,8022831104
1722712995.6032574,39.1,8022659072
1722712996.6037512,38.8,8015609856
1722712997.6041882,38.8,8025309184
1722712998.6048114,39.2,8028430336
1722712999.605448,39.5,8018550784
1722713000.6059783,39.7,8018649088
1722713001.6066525,38.0,8018337792
1722713002.6071723,38.3,8019255296
1722713003.6075838,34.1,8022388736
1722713004.6081023,38.3,8025690112
1722713005.608779,35.6,8019173376
1722713006.6095073,37.9,8024608768
1722713007.6102364,37.9,8030752768
1722713008.6109214,37.3,8030851072
1722713009.611535,36.8,8033972224
1722713010.6121418,37.0,8036585472
1722713011.6128588,38.9,8038707200
1722713012.613375,38.4,8038760448
1722713013.6138813,36.9,8038825984
1722713014.6145558,37.8,8040943616
1722713015.6152117,37.4,8041005056
1722713016.6159353,37.3,8041058304
1722713017.616724,36.7,8041152512
1722713018.6173787,37.2,8041115648
1722713019.6181376,36.6,8041172992
1722713020.6188679,36.8,8041291776
1722713021.619606,34.2,8047800320
1722713022.6202807,36.3,8047394816
1722713023.6209292,35.8,8047480832
1722713024.6216674,37.3,8050176000
1722713025.6224077,37.8,8057929728
1722713026.6230745,37.7,8057864192
1722713027.623754,38.4,8066408448
1722713028.6244373,38.0,8066408448
1722713029.6248822,38.9,8066342912
1722713030.6253064,38.7,8066400256
1722713031.6258788,38.5,8066400256
1722713032.6262968,38.0,8066433024
1722713033.62671,36.1,8066428928
1722713034.6271908,36.2,8066494464
1722713035.6279318,33.6,8066428928
1722713036.6286223,37.2,8066527232
1722713037.629303,36.7,8066486272
1722713038.629961,37.2,8066617344
1722713039.63058,36.5,8066547712
1722713040.631268,37.0,8069255168
1722713041.63188,35.2,8071925760
1722713042.6325662,36.0,8072318976
1722713043.6332061,36.2,8072384512
1722713044.6338592,36.8,8072417280
1722713045.634565,37.2,8072351744
1722713046.6351995,35.9,8072445952
1722713047.6357226,35.5,8072413184
