Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;472281088;8228864;395825152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;36934848;477192192;8228864;395825152;25940007;0;0;0;0;0;0;0;0;0;0;136747;0;0;0;0;0;0;0;0;
3;3597728;477192192;8228864;395825152;986280;0;0;0;0;0;0;0;0;0;0;1753;0;0;0;0;0;0;0;0;
4;852809;477192192;8228864;395825152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;204003;477192192;8228864;395825152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;201668;477192192;8228864;395825152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;2428555;486760448;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;256691;487030784;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;228659;487030784;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;233628;487030784;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;227336;487301120;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;216706;487301120;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;198812;487301120;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;204814;487301120;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;199835;487301120;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;194655;487301120;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;188423;487301120;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;186299;487301120;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;191269;487301120;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;593122;487301120;8228864;429379584;383729;0;0;0;0;0;0;0;0;0;0;2254;0;0;0;0;0;0;0;0;
21;202339;487301120;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;189225;487301120;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;199344;487301120;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;197249;487301120;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;194806;487301120;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;191730;487301120;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;190798;487301120;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;206697;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;210485;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;194525;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;192180;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;190477;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;201518;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;193162;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;189886;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36;195837;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
37;206948;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
38;569829;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
39;200385;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
40;291035;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41;593914;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
42;201017;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
43;215204;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
44;205616;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
45;199394;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
46;196829;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
47;188012;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
48;205786;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
49;194925;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
50;189616;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
51;201258;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
52;193674;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53;201948;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54;190627;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55;191550;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
56;193884;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
57;195256;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
58;202109;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
59;190177;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
60;195447;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
61;194955;487550976;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
62;203983;488054784;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
63;195326;488054784;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
64;193293;488054784;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
65;191960;488054784;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66;195076;488054784;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
67;209182;488054784;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
68;196469;488054784;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
69;224922;488054784;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
70;196779;488054784;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
71;196338;488054784;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
