Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),filename,original_row_count,chunkX,chunkZ,active_logic,Chunks,players,duration,terrain_type
342596289.0,117794962947.0,649859318575104.0,546304200704.0,2177823963820032.0,42561761206.0,0.0,9198782733.0,657057262.0,247369495.0,15396193.0,806262.0,178533205.0,177924921.0,538513.0,3620560.0,27860128.0,0.0,0.0,0.0,0.0,0.0,3846402.0,0.0,1440600.0,players-activeLogic_RollingHills_0x_0z_100p_120s.csv,14406,0,0,True,0,100,120,RollingHills
941406250.0,103320739048.0,144935746940928.0,1285547487232.0,464841998807040.0,7860484917.0,0.0,786310268.0,523089204.0,29598463.0,2855323.0,126630.0,24379581.0,24293668.0,75863.0,279573.0,27270625.0,0.0,0.0,0.0,0.0,0.0,8043375.0,0.0,301250.0,players-activeLogic_RollingHills_0x_0z_10p_120s.csv,30125,0,0,True,0,10,120,RollingHills
711777549.0,68494017511.0,182311923744768.0,962276102144.0,607533849038848.0,6076045746.0,0.0,975371695.0,368824637.0,47843956.0,2482285.0,95327.0,39099616.0,38912907.0,178147.0,300200.0,16818798.0,0.0,0.0,0.0,0.0,0.0,5349735.0,0.0,375420.0,players-activeLogic_RollingHills_0x_0z_20p_120s.csv,18771,0,0,True,0,20,120,RollingHills
874273631.0,109498905828.0,402060843814912.0,1231767400448.0,1352949461905408.0,11633602783.0,0.0,2452838565.0,605028148.0,54882078.0,3979597.0,156245.0,42869140.0,42734224.0,122546.0,5614519.0,30299651.0,0.0,0.0,0.0,0.0,0.0,7946454.0,0.0,892860.0,players-activeLogic_RollingHills_0x_0z_30p_120s.csv,29762,0,0,True,0,30,120,RollingHills
890001123.0,112618317430.0,529170961309696.0,1168239247360.0,1793249462566912.0,13251907748.0,0.0,3180126268.0,591809146.0,48934697.0,3946601.0,151315.0,42204360.0,42094705.0,97732.0,195466.0,29126149.0,0.0,0.0,0.0,0.0,0.0,7926162.0,0.0,1187440.0,players-activeLogic_RollingHills_0x_0z_40p_120s.csv,29686,0,0,True,0,40,120,RollingHills
764597028.0,115395099283.0,594049205551104.0,1175423889408.0,2026314864029696.0,16463830815.0,0.0,4678993514.0,676028300.0,85590035.0,4841581.0,210833.0,62018289.0,61846809.0,150784.0,329798.0,29693993.0,0.0,0.0,0.0,0.0,0.0,7195383.0,0.0,1347450.0,players-activeLogic_RollingHills_0x_0z_50p_120s.csv,26949,0,0,True,0,50,120,RollingHills
634650540.0,117735699804.0,625419743387648.0,1002209783808.0,2125242239709184.0,21366091595.0,0.0,6098997624.0,773453030.0,132665722.0,6788753.0,325560.0,58667358.0,58406330.0,228793.0,19044549.0,31646936.0,0.0,0.0,0.0,0.0,0.0,6280641.0,0.0,1411380.0,players-activeLogic_RollingHills_0x_0z_60p_120s.csv,23523,0,0,True,0,60,120,RollingHills
638007515.0,117431776463.0,732707762917376.0,978673037312.0,2492737714524160.0,24165667677.0,0.0,6971895299.0,643479446.0,117086851.0,7712594.0,338179.0,70973423.0,70639553.0,306164.0,3416520.0,31171535.0,0.0,0.0,0.0,0.0,0.0,6315618.0,0.0,1655780.0,players-activeLogic_RollingHills_0x_0z_70p_120s.csv,23654,0,0,True,0,70,120,RollingHills
542260276.0,117471401244.0,741483632820224.0,726492688384.0,2513815734312960.0,28205016860.0,0.0,8277017803.0,738704075.0,346337513.0,8829594.0,414296.0,223589693.0,204172506.0,19373816.0,36383439.0,30360465.0,0.0,0.0,0.0,0.0,0.0,5550663.0,0.0,1663120.0,players-activeLogic_RollingHills_0x_0z_80p_120s.csv,20789,0,0,True,0,80,120,RollingHills
469690683.0,116589340803.0,752692302065664.0,805725155328.0,2537415441108992.0,33076980320.0,0.0,8794069586.0,661720185.0,248686879.0,10699129.0,539703.0,132951017.0,132413563.0,491122.0,18297199.0,29020215.0,0.0,0.0,0.0,0.0,0.0,4972341.0,0.0,1676070.0,players-activeLogic_RollingHills_0x_0z_90p_120s.csv,18623,0,0,True,0,90,120,RollingHills
