Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
19041,6656854,12955389952,39743488,42263433216,2734848,0,796894,0,0,0,0,0,0,0,0,6492,0,0,0.0,89.0,0.0,90.0
19042,4681549,12959584256,39743488,42280210432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19043,3954937,12959584256,39743488,42280210432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19044,2920256,12959596544,39739392,42280206336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19045,6390605,12968775680,39739392,42313760768,2526469,0,793999,0,0,0,0,0,0,0,0,6533,0,0,0.0,89.0,0.0,90.0
19046,4251413,12973232128,39739392,42330537984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19047,3798133,12973232128,39739392,42330537984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19048,5696142,12962349056,18522112,42309320704,2478479,0,787627,0,0,0,0,0,0,0,0,5300,0,0,0.0,89.0,0.0,90.0
19049,4506712,12962615296,18522112,42309320704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19050,3753389,12976205824,39739392,42364092416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19051,1374638,12976205824,39739392,42364092416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19052,3773266,12976205824,39739392,42364092416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19053,5688649,12976205824,39739392,42364092416,2529834,0,804809,0,0,0,0,0,0,0,0,4939,0,0,0.0,89.0,0.0,90.0
19054,4431100,12981698560,39739392,42380869632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19055,3101737,12985892864,39739392,42397646848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19056,3773086,12985892864,39739392,42397646848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19057,4881345,12986138624,39735296,42397642752,2448001,0,811903,0,0,0,0,0,0,0,0,4999,0,0,0.0,89.0,0.0,90.0
19058,4319621,12990824448,39735296,42414419968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19059,3318714,12986388480,18518016,42393202688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19060,3977409,12991123456,18518016,42409979904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19061,5584262,12991123456,18518016,42409979904,2476334,0,807484,0,0,0,0,0,0,0,0,5450,0,0,0.0,89.0,0.0,90.0
19062,4355297,12996087808,18518016,42443534336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19063,3721830,13009133568,39739392,42481532928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19064,3828750,13009133568,39739392,42481532928,2440397,0,819908,0,0,0,0,0,0,0,0,5521,0,0,0.0,89.0,0.0,90.0
19065,4370076,13013856256,39739392,42498310144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19066,2696447,13013856256,39739392,42498310144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
