Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;473665536;8122368;395718656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;40725827;479158272;8122368;395718656;28650140;0;0;0;0;0;0;0;0;0;0;121068;0;0;0;0;0;0;
3;3791421;479948800;8122368;395718656;970521;0;0;0;0;0;0;0;0;0;0;2165;0;0;0;0;0;0;
4;983414;479948800;8122368;395718656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;223499;479948800;8122368;395718656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;210956;479948800;8122368;395718656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;2441960;488796160;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;263353;488796160;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;223439;489066496;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;300644;489066496;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;251201;489336832;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;229680;489336832;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;211226;489336832;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;213701;489336832;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;203742;489336832;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;199564;489336832;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;201257;489336832;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;910959;489336832;8122368;429273088;684103;0;0;0;0;0;0;0;0;0;0;2194;0;0;0;0;0;0;
19;228529;489336832;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;216737;489336832;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;203501;489336832;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;198963;489336832;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;216466;489336832;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;210154;489336832;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;217117;489336832;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;205816;489336832;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;206888;489336832;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;214462;489336832;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;219391;489336832;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;208691;489336832;8122368;429273088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
