Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),filename,original_row_count,chunkX,chunkZ,active_logic,Chunks,players,duration,terrain_type
803411865.0,117200469774.0,397807647719424.0,1055958687744.0,1292377379872768.0,18069343498.0,0.0,5759306059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35305384.0,0.0,0.0,0.0,2215210.0,0.0,2489000.0,players_Empty_0x_0z_100p_120s.csv,24890,0,0,False,0,100,120,Empty
1071303821.0,112690074978.0,65546113994752.0,1328292110336.0,187713294589952.0,6186807923.0,196829.0,611135255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27362550.0,0.0,0.0,0.0,3068453.0,0.0,344770.0,players_Empty_0x_0z_10p_120s.csv,34477,0,0,False,0,10,120,Empty
1076560212.0,115573677118.0,114635260280832.0,1195921760256.0,362543325110272.0,7082587548.0,307517.0,1006538574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28581029.0,0.0,0.0,0.0,3092216.0,0.0,694880.0,players_Empty_0x_0z_20p_120s.csv,34744,0,0,False,0,20,120,Empty
1015405385.0,116557355242.0,159355687727104.0,1052249735168.0,517358159151104.0,8576894114.0,0.0,1483350769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32319634.0,0.0,0.0,0.0,2964590.0,0.0,999300.0,players_Empty_0x_0z_30p_120s.csv,33310,0,0,False,0,30,120,Empty
1004041605.0,116745548323.0,205024948568064.0,1185804050432.0,671380643913728.0,9788676959.0,0.0,1885291994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31646721.0,0.0,0.0,0.0,2900065.0,0.0,1303400.0,players_Empty_0x_0z_40p_120s.csv,32585,0,0,False,0,40,120,Empty
1034724790.0,116732716076.0,248757138952192.0,1075316830208.0,825439320256512.0,10600301254.0,0.0,2155396728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32599102.0,0.0,0.0,0.0,2870428.0,0.0,1612600.0,players_Empty_0x_0z_50p_120s.csv,32252,0,0,False,0,50,120,Empty
998273595.0,116923845361.0,294114786246656.0,1161461014528.0,966311937646592.0,11915332965.0,0.0,2777187018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34184637.0,0.0,0.0,0.0,2778402.0,0.0,1873080.0,players_Empty_0x_0z_60p_120s.csv,31218,0,0,False,0,60,120,Empty
956272052.0,117077576185.0,322499358068736.0,1101086248960.0,1061602084052992.0,13494842842.0,0.0,3517234012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35082580.0,0.0,0.0,0.0,2619359.0,0.0,2060170.0,players_Empty_0x_0z_70p_120s.csv,29431,0,0,False,0,70,120,Empty
941853855.0,116938659664.0,362229175279616.0,1156628439040.0,1174311316553728.0,14875808633.0,0.0,4108111049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35184706.0,0.0,0.0,0.0,2511046.0,0.0,2257120.0,players_Empty_0x_0z_80p_120s.csv,28214,0,0,False,0,80,120,Empty
764702436.0,117196853497.0,350679445544960.0,963356872704.0,1143716809953280.0,17557757893.0,0.0,5495723674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38129110.0,0.0,0.0,0.0,2176584.0,0.0,2201040.0,players_Empty_0x_0z_90p_120s.csv,24456,0,0,False,0,90,120,Empty
