Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
15314,116941550,18890293248,18890752,67014131712,98668972,0,607900,84619,0,0,0,0,0,0,0,5090,0,0,0.0,267.0,0.0,60.0
15315,23802057,18941296640,18903040,67198693376,15982081,0,2549631,269714,0,0,0,0,0,0,0,11050,0,0,0.0,267.0,0.0,60.0
15316,12067672,18967203840,18903040,67282579456,8860427,0,619011,73167,0,0,0,0,0,0,0,3547,0,0,0.0,267.0,0.0,60.0
15317,14683306,18998071296,18903040,67416797184,10223122,0,615625,84429,0,0,0,0,0,0,0,4238,0,0,0.0,267.0,0.0,60.0
15318,12239584,19022655488,27811840,67492814848,5961961,0,621255,66374,0,0,0,0,0,0,0,4759,0,0,0.0,267.0,0.0,60.0
15319,12172638,19051458560,27811840,67610255360,7582770,0,847680,106179,0,0,0,0,0,0,0,4669,0,0,0.0,267.0,0.0,60.0
15320,4829537,19080536064,27811840,67694141440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15321,5426357,19084730368,27811840,67710918656,2872196,0,950352,99035,0,0,0,0,0,0,0,4268,0,0,0.0,267.0,0.0,60.0
15322,9684843,19113472000,27811840,67811581952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15323,7234577,19117907968,27811840,67828359168,2586792,0,951324,108183,0,0,0,0,0,0,0,4348,0,0,0.0,267.0,0.0,60.0
15324,3975897,19126546432,27811840,67861913600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15325,4174659,19132284928,27811840,67878690816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15326,6770056,19136339968,21184512,67905617920,4057669,0,952457,104226,0,0,0,0,0,0,0,4298,0,0,0.0,267.0,0.0,60.0
15327,4185299,19152027648,21184512,67955949568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15328,3826416,19165405184,21184512,68006281216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15329,3661997,19165405184,21184512,68006281216,2417363,0,953308,97382,0,0,0,0,0,0,0,4548,0,0,0.0,267.0,0.0,60.0
15330,5207556,19180314624,27807744,68063236096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15331,4766559,19209314304,27807744,68147122176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15332,1365391,19213754368,27807744,68163899392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15333,3688297,19217948672,27807744,68180676608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15334,5459298,19218022400,27803648,68180672512,2853992,0,951375,119333,0,0,0,0,0,0,0,4819,0,0,0.0,267.0,0.0,60.0
15335,3953544,19232428032,27803648,68231004160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15336,4771829,19250257920,27803648,68298113024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15337,7785100,19261054976,27803648,68331667456,5053978,0,952977,124563,0,0,0,0,0,0,0,4809,0,0,0.0,267.0,0.0,60.0
15338,4562486,19274162176,27803648,68381999104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15339,3619889,19291451392,27803648,68449107968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15340,1379026,19291451392,27803648,68449107968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15341,7423752,19301101568,27803648,68482662400,2946776,0,979126,127840,0,0,0,0,0,0,0,6422,0,0,0.0,267.0,0.0,60.0
15342,6309913,19318652928,27803648,68549771264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15343,1290290,19318652928,27803648,68549771264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15344,3744032,19318652928,27803648,68549771264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15345,6266813,19318652928,27803648,68549771264,3076370,0,988223,132158,0,0,0,0,0,0,0,6623,0,0,0.0,267.0,0.0,60.0
15346,4415982,19332210688,27803648,68616880128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15347,5409715,19350007808,27803648,68667211776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15348,5667289,19350228992,27803648,68667211776,4079722,0,985498,115857,0,0,0,0,0,0,0,5751,0,0,0.0,267.0,0.0,60.0
15349,6113154,19373010944,27803648,68767875072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15350,5292616,19386855424,27803648,68801429504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15351,6873651,19396276224,27803648,68834983936,2953759,0,985338,116238,0,0,0,0,0,0,0,5911,0,0,0.0,267.0,0.0,60.0
15352,7402302,19402010624,18894848,68876406784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15353,9311793,19406475264,18894848,68893184000,5104362,0,979577,124904,0,0,0,0,0,0,0,6492,0,0,0.0,267.0,0.0,60.0
15354,4588515,19415126016,18898944,68943519744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15355,1861471,19419578368,18898944,68943519744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15356,3928197,19425366016,18898944,68960296960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15357,5751816,19429560320,18898944,68977074176,2675617,0,991038,120176,0,0,0,0,0,0,0,6181,0,0,0.0,267.0,0.0,60.0
15358,4205407,19436826624,18898944,69010628608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15359,6261984,19457241088,18898944,69077737472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15360,6581753,19466641408,18898944,69128069120,2576763,0,990838,145022,0,0,0,0,0,0,0,5941,0,0,0.0,267.0,0.0,60.0
15361,4962887,19481071616,18898944,69161623552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15362,1747467,19481341952,18898944,69161623552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15363,15909437,19494293504,18898944,69195177984,11970659,0,954330,113443,0,0,0,0,0,0,0,4589,0,0,0.0,267.0,0.0,60.0
15364,3700740,19497943040,27807744,69204086784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15365,8321997,19511574528,27807744,69254418432,5958435,0,956634,117741,0,0,0,0,0,0,0,4208,0,0,0.0,267.0,0.0,60.0
15366,4663966,19534290944,27807744,69321527296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15367,3421747,19547914240,27807744,69371858944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15368,16882802,19567587328,27807744,69422190592,12865627,0,945833,101320,0,0,0,0,0,0,0,4448,0,0,0.0,267.0,0.0,60.0
15369,11596518,19601391616,27807744,69539631104,7407482,0,976722,98164,0,0,0,0,0,0,0,4639,0,0,0.0,267.0,0.0,60.0
15370,12408792,19662639104,27803648,69640290304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
