Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;471670784;9363456;396959744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;59082803;476225536;9363456;396959744;44345094;0;0;0;0;0;0;0;0;0;0;169368;0;0;0;0;0;0;
3;4911842;476962816;9363456;396959744;1089663;0;0;0;0;0;0;0;0;0;0;2845;0;0;0;0;0;0;
4;1340164;476962816;9363456;396959744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;351299;476962816;9363456;396959744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;392937;476962816;9363456;396959744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;2969118;485990400;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;1082931;486531072;9363456;430514176;551865;0;0;0;0;0;0;0;0;0;0;2525;0;0;0;0;0;0;
9;390602;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;359273;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;365054;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;343554;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;335890;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;351028;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;348754;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;340498;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;351459;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;354975;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;349465;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;352932;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;345498;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;354144;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;366938;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;841008;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;476804;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;911449;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;396393;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;364734;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;347020;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;412073;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;359774;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;371156;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;355948;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;349054;486531072;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;364824;486973440;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36;363502;486973440;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
37;372609;486973440;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
38;366868;486973440;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
39;392727;486973440;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
40;371527;486973440;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41;390672;486973440;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
42;360025;486973440;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
43;369613;487821312;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
44;363892;487821312;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
45;371767;487821312;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
46;345768;487821312;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
47;830397;487821312;9363456;430514176;446156;0;0;0;0;0;0;0;0;0;0;2244;0;0;0;0;0;0;
48;391735;487821312;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
49;373761;487821312;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
50;373561;487821312;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
51;355476;487821312;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
52;360466;487821312;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53;361949;488620032;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54;350898;488620032;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55;362310;488620032;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
56;358192;488620032;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
57;354314;488620032;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
58;366327;488620032;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
59;348985;488620032;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
60;364022;488620032;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
61;378570;489119744;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
62;427592;489119744;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
63;371006;489119744;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
64;363261;489119744;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
65;393698;489119744;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66;371016;489119744;9363456;430514176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
