Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;473518080;8032256;395628544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;40355442;478547968;8032256;395628544;0;0;0;0;0;0;0;0;0;0;0;114244;0;0;0;0;0;0;
3;3289389;479526912;8032256;395628544;0;0;0;0;0;0;0;0;0;0;0;2284;0;0;0;0;0;0;
4;1412659;479526912;8032256;395628544;0;0;0;0;0;0;0;0;0;0;0;1193;0;0;0;0;0;0;
5;1797090;488378368;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1312;0;0;0;0;0;0;
6;750388;488919040;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;2755;0;0;0;0;0;0;
7;827131;488919040;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1443;0;0;0;0;0;0;
8;945613;488919040;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1303;0;0;0;0;0;0;
9;789791;488919040;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1302;0;0;0;0;0;0;
10;782467;488919040;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1453;0;0;0;0;0;0;
11;1209098;488919040;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1402;0;0;0;0;0;0;
12;1817939;488919040;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1533;0;0;0;0;0;0;
13;606708;488919040;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1443;0;0;0;0;0;0;
14;580770;489598976;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1482;0;0;0;0;0;0;
15;987411;489598976;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1763;0;0;0;0;0;0;
16;880030;489598976;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1693;0;0;0;0;0;0;
17;768341;490385408;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1413;0;0;0;0;0;0;
18;702718;490385408;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1633;0;0;0;0;0;0;
19;691036;490385408;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1472;0;0;0;0;0;0;
20;846868;490385408;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1563;0;0;0;0;0;0;
21;830427;490385408;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1513;0;0;0;0;0;0;
22;1080446;491835392;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1954;0;0;0;0;0;0;
23;963567;491835392;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1463;0;0;0;0;0;0;
24;818755;491835392;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1593;0;0;0;0;0;0;
25;628399;491835392;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1543;0;0;0;0;0;0;
26;967624;491835392;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1653;0;0;0;0;0;0;
27;973886;491835392;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1553;0;0;0;0;0;0;
28;681659;491835392;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1553;0;0;0;0;0;0;
29;1056411;491835392;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1563;0;0;0;0;0;0;
30;921348;491835392;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1523;0;0;0;0;0;0;
31;581600;491835392;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1533;0;0;0;0;0;0;
32;688621;491835392;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1483;0;0;0;0;0;0;
33;654377;491835392;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1363;0;0;0;0;0;0;
34;775254;491835392;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1533;0;0;0;0;0;0;
35;4766840;491835392;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;1443;0;0;0;0;0;0;
